"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam Mínimal Weekly Planner 18-Month | Weekly View Horizontal Layout · July 2026 to December 2027 | Girl · International - Week-to-view diary","B0GJSY5V4L","636110527","Finocam","Kalendarze biurkowe","22903000","3","0","69.11","0.00","1","0","69.11","0","33.3","0"
"Finocam Mara Weekly Planner 18-Month | Weekly View Vertical Layout · July 2026 to December 2027 | Girl · International - Week-to-view diary","B0GJT5X8Y8","636300527","Finocam","Kalendarze biurkowe","22903000","11","0","60.47","0.00","1","0","60.47","0","9.1","0"
"Finocam Mínimal Weekly Planner 18-Month | Weekly View Horizontal Layout · July 2026 to December 2027 | Blue · International - Week-to-view diary","B0GJT25LQ1","636101427","Finocam","Kalendarze biurkowe","22903000","2","0","58.74","0.00","1","0","58.74","0","50","0"
"Finocam Haiku Undated Weekly Planner | Weekly View Vertical Layout | Green · International - Planner","B0GJT2SKB5","1480302","Finocam","Planery i organizery osobiste","Organizacja przestrzeni biurowej","5","0","38.01","0.00","1","0","38.01","0","20","0"
"Finocam - Uniwersalny terminarz bez dat Mytime Tydzień w widoku pionowym Międzynarodowy","B0BS49SS5T","8015001","Finocam","Notatniki i zeszyty szkolne","22903000","7","0","34.55","0.00","1","0","34.55","0","14.3","0"
"Finocam - Uniwersalny terminarz bez dat Mytime Każdy dzień na osobnej stronie Międzynarodowy","B0BS4996B7","8015101","Finocam","Notatniki i zeszyty szkolne","22903000","1","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notatnik Flexi Modern Dotted - W kropki Niebieski","B0BS49M3XT","B0BS49M3XT","Finocam","Notatniki i zeszyty szkolne","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notatnik Flexi Design Gładki Butterfly","B0BS49NWVQ","8043005","Finocam","Notatniki i zeszyty szkolne","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notatnik Flexi Modern Dotted - W kropki Niebieski","B0BS49WDNV","B0BS49WDNV","Finocam","Notatniki i zeszyty szkolne","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notatnik Design Gładki Mountain","B0D3F5GXRS","8053102","Finocam","Kalendarze biurkowe","22903000","1","0","0.00","0.00","0","0","0.00","0","0","0"
